PassengerId,Survived,Class,Sex,Age,TicketPrice
620,0,2,male,26,10.5
621,0,3,male,27,14.4542
622,1,1,male,42,52.5542
623,1,3,male,20,15.7417
624,0,3,male,21,7.8542
625,0,3,male,21,16.1
626,0,1,male,61,32.3208
627,0,2,male,57,12.35
628,1,1,female,21,77.9583
629,0,3,male,26,7.8958
630,0,3,male,,7.7333
631,1,1,male,80,30
632,0,3,male,51,7.0542
633,1,1,male,32,30.5
634,0,1,male,,0
635,0,3,female,9,27.9
636,1,2,female,28,13
637,0,3,male,32,7.925
638,0,2,male,31,26.25
639,0,3,female,41,39.6875
640,0,3,male,,16.1
641,0,3,male,20,7.8542
642,1,1,female,24,69.3
643,0,3,female,2,27.9
644,1,3,male,,56.4958
645,1,3,female,0.75,19.2583
646,1,1,male,48,76.7292
647,0,3,male,19,7.8958
648,1,1,male,56,35.5
649,0,3,male,,7.55
650,1,3,female,23,7.55
651,0,3,male,,7.8958
652,1,2,female,18,23
653,0,3,male,21,8.4333
654,1,3,female,,7.8292
655,0,3,female,18,6.75
656,0,2,male,24,73.5
657,0,3,male,,7.8958
658,0,3,female,32,15.5
659,0,2,male,23,13
660,0,1,male,58,113.275
661,1,1,male,50,133.65
662,0,3,male,40,7.225
663,0,1,male,47,25.5875
664,0,3,male,36,7.4958
665,1,3,male,20,7.925
666,0,2,male,32,73.5
667,0,2,male,25,13
668,0,3,male,,7.775
669,0,3,male,43,8.05
670,1,1,female,,52
671,1,2,female,40,39
672,0,1,male,31,52
673,0,2,male,70,10.5
674,1,2,male,31,13
675,0,2,male,,0
676,0,3,male,18,7.775
677,0,3,male,24.5,8.05
678,1,3,female,18,9.8417
679,0,3,female,43,46.9
680,1,1,male,36,512.3292
681,0,3,female,,8.1375
682,1,1,male,27,76.7292
683,0,3,male,20,9.225
684,0,3,male,14,46.9
685,0,2,male,60,39
686,0,2,male,25,41.5792
687,0,3,male,14,39.6875
688,0,3,male,19,10.1708
689,0,3,male,18,7.7958
690,1,1,female,15,211.3375
691,1,1,male,31,57
692,1,3,female,4,13.4167
693,1,3,male,,56.4958
694,0,3,male,25,7.225
695,0,1,male,60,26.55
696,0,2,male,52,13.5
697,0,3,male,44,8.05
698,1,3,female,,7.7333
699,0,1,male,49,110.8833
700,0,3,male,42,7.65
701,1,1,female,18,227.525
702,1,1,male,35,26.2875
703,0,3,female,18,14.4542
704,0,3,male,25,7.7417
705,0,3,male,26,7.8542
706,0,2,male,39,26
707,1,2,female,45,13.5
708,1,1,male,42,26.2875
709,1,1,female,22,151.55
710,1,3,male,,15.2458
711,1,1,female,24,49.5042
712,0,1,male,,26.55
713,1,1,male,48,52
714,0,3,male,29,9.4833
715,0,2,male,52,13
716,0,3,male,19,7.65
717,1,1,female,38,227.525
718,1,2,female,27,10.5
719,0,3,male,,15.5
720,0,3,male,33,7.775
721,1,2,female,6,33
722,0,3,male,17,7.0542
723,0,2,male,34,13
724,0,2,male,50,13
725,1,1,male,27,53.1
726,0,3,male,20,8.6625
727,1,2,female,30,21
728,1,3,female,,7.7375
729,0,2,male,25,26
730,0,3,female,25,7.925
731,1,1,female,29,211.3375
732,0,3,male,11,18.7875
733,0,2,male,,0
734,0,2,male,23,13
735,0,2,male,23,13
736,0,3,male,28.5,16.1
737,0,3,female,48,34.375
738,1,1,male,35,512.3292
739,0,3,male,,7.8958
740,0,3,male,,7.8958
741,1,1,male,,30
742,0,1,male,36,78.85
743,1,1,female,21,262.375
744,0,3,male,24,16.1
745,1,3,male,31,7.925
746,0,1,male,70,71
747,0,3,male,16,20.25
748,1,2,female,30,13
749,0,1,male,19,53.1
750,0,3,male,31,7.75
751,1,2,female,4,23
752,1,3,male,6,12.475
753,0,3,male,33,9.5
754,0,3,male,23,7.8958
755,1,2,female,48,65
756,1,2,male,0.67,14.5
757,0,3,male,28,7.7958
758,0,2,male,18,11.5
759,0,3,male,34,8.05
760,1,1,female,33,86.5
761,0,3,male,,14.5
762,0,3,male,41,7.125
763,1,3,male,20,7.2292
764,1,1,female,36,120
765,0,3,male,16,7.775
766,1,1,female,51,77.9583
767,0,1,male,,39.6
768,0,3,female,30.5,7.75
769,0,3,male,,24.15
770,0,3,male,32,8.3625
771,0,3,male,24,9.5
772,0,3,male,48,7.8542
773,0,2,female,57,10.5
774,0,3,male,,7.225
775,1,2,female,54,23
776,0,3,male,18,7.75
777,0,3,male,,7.75
778,1,3,female,5,12.475
779,0,3,male,,7.7375
780,1,1,female,43,211.3375
781,1,3,female,13,7.2292
782,1,1,female,17,57
783,0,1,male,29,30
784,0,3,male,,23.45
785,0,3,male,25,7.05
786,0,3,male,25,7.25
787,1,3,female,18,7.4958
788,0,3,male,8,29.125
789,1,3,male,1,20.575
790,0,1,male,46,79.2
791,0,3,male,,7.75
792,0,2,male,16,26
793,0,3,female,,69.55
794,0,1,male,,30.6958
795,0,3,male,25,7.8958
796,0,2,male,39,13
797,1,1,female,49,25.9292
798,1,3,female,31,8.6833
799,0,3,male,30,7.2292
800,0,3,female,30,24.15
